,author,sentence,pet,pos_tag,is_euph,replacement,category
16798,sb,"even before last year's increase, the united states had some of the highest drug overdose death rates among similarly wealthy nations, with rates more than tripling in the past two decades",wealthy,JJ,,,
16871,sb,the group filed a lawsuit against the government late last month seeking an additional $26,late,RB,,,
16880,sb,"in late 2016 and early 2017, 21 american diplomats stationed in cuba started to report serious and in some cases debilitating neurological symptoms with no ready explanation, including headaches, nausea and hearing loss, brought on, most of them said, by a piercing, high-pitched sound, as though they had been caught in ""an invisible beam of energy",late,JJ,,,
16962,sb,"another statistic that i have never seen anywhere is the number of people who survived covid-19 but are disabled for the short term, the long term or maybe even permanently",disabled,VBN,,,
17008,sb,"krugman blames news organizations -- particularly those antagonistic to the biden administration, like fox news and newsmax -- that ""have been doing all they can to convey the impression of a troubled economy, whatever the reality",troubled,JJ,,,
17027,sb,"""if we have a variant that is antigenically distant and isn't neutralized at a certain level of antibody, there is something we can do: we can boost the overall antibody levels, because sometimes quantity can compensate for the lack of match,"" said wendy barclay, a virologist at imperial college london",neutralized,VBN,,,
17088,sb,"as the times's david leonhardt noted last week, some political scientists believe that democrats overweight the electoral importance of policy and don't talk enough about values",overweight,VBD,,,
17173,sb,"but the burden of proof for such a charge is high: the jury will have to be convinced that the parents, james and jennifer crumbley, were ""aware not just generally that their son was troubled but aware that he would or could do this -- shoot up that school,"" said eve brensike primus, a professor at the university of michigan school of law",troubled,VBN,,,
17224,sb,""" rapid tests can also ease safety concerns for people who are especially vulnerable to covid, like the elderly and the immunocompromised",elderly,JJ,,,
17234,sb,4 percent have been administered in low-income countries,low-income,JJ,,,
17239,sb,"""in most low-income countries, they're really looking at only two shots per 100 people",low-income,JJ,,,
17260,te,"""the difference in support for the pro-choice position was a mere six percentage points,"" alan abramowitz, a political scientist at emory university, told me by email",pro-choice,JJ,,,
17297,te,"""40 percent of democratic identifiers were pro-life, while 39 percent were pro-choice",pro-choice,JJ,,,
17305,te,"among republican identifiers, 33 percent were pro-choice, 45 percent were pro-life and 22 percent were in the middle",pro-choice,JJ,,,
17362,te,"crucially, abramowitz pointed out, opinions on abortion are also closely connected with racial attitudes: some of the scholars and journalists studying the evolving role of abortion in american politics make the case that key leaders of the conservative movement in the late 1970s and early 1980s -- among them richard viguerie, paul weyrich, phyllis schlafly and jerry falwell sr",late,JJ,,,
17446,te,"on one side, opponents of the procedure argue that ""at the moment of fusion of human sperm and egg, a new entity comes into existence which is distinctly human, alive, and an individual organism -- a living, and fully human, being,"" as the center for human dignity puts it in the pamphlet ""the best pro-life arguments for secular audiences",pro-life,JJ,,,
17630,te,""" if, margolis continues: the power of partisanship to influence stands on abortion can be seen on the democratic side by the ""host of democrats who have liberalized their views as they eyed the presidency -- ted kennedy, jesse jackson, dick gephardt, al gore, and dennis kucinich among them"" -- as john murdock wrote in ""the future of the pro-life democrat"" in the journal national affairs",pro-life,JJ,,,
17738,te,""" the first, he notes: the second, he continued, is: the third, in cowie's view, is: darren dochuk, a professor of history at notre dame and the author of ""from bible belt to sunbelt: plain-folk religion, grassroots politics and the rise of evangelical conservatism,"" argued in an email that the strength of the opposition to abortion in the south grows out of the unique tensions in the region between notions of manhood and evangelical attempts to control the sins of men: ""since the late 1970s, however,"" dochuk wrote: this accommodation is driven, according to dochuk, by the fact that the enemy is now, in southern evangelicals' view, ""an effeminate liberalism and its 'secular humanism,'"" which, in turn, means that: in this milieu, dochuk observed: in milder terms, rebecca kreitzer, a professor of public policy at the university of north carolina at chapel hill, and two colleagues argue in ""the evolution of morality policy debate: moralization and demoralization"" that as an issue becomes both polarized and ""moralized,"" it become more difficult, if not impossible, to resolve",late,JJ,,,
17959,te,"6, biden has been able to stress his own historic support for the police as emblematic of his opposition to chaos,"" sherman wrote in an email: biden should take the initiative, sherman argues, with ""a major policing initiative,"" and that initiative should stress ""hot spots policing,"" the focusing of police resources on small sections of urban areas, ""under 5 percent of land in most cities,"" while ""pulling way back on stop and frisk everywhere else, especially suburban traffic stops, like the late sandra bland",late,JJ,,,
17981,te,"on the other hand, if what his voters need is equality -- that is, resource redistribution -- experienced advisers may not be enough",experienced,JJ,,,
18138,te,"jacobs, a professor of psychological and brain sciences at the university of california-santa barbara, argued that all the rights revolutions -- civil rights, women's rights, gay rights -- have been key to the emergence of the contemporary right wing: jane yunhee junn, a professor of political science at the university of southern california, was outspoken in her view: herbert p",outspoken,VBN,,,
18148,te,", abortion and same-sex marriage) was a stronger predictor of meaning in life, whereas conservatism on economic issues (e",same-sex,JJ,,,
18180,te,""" the onraet study did find, however, that ""among the elderly, adhering to right-wing attitudes is associated with higher levels of self-esteem, intrinsic goal pursuit and (a trend toward higher) life satisfaction",elderly,JJ,,,
18219,te,""" of those, ""twenty-six -- fully half of the cases -- experienced a downgrading of their democratic rating",experienced,VBD,,,
18255,te,""" instead, caughey and his co-authors show caughey, dunham and warshaw describe the growing partisan salience of racial and social issues since the 1950s: in the late 1950s, they continue, the three authors argue that there are a number of consequences of ""the ideological nationalization of the united states party system",late,JJ,,,
18495,te,"shelly lundberg, an economics professor at the university of california-santa barbara, cites a range of projects and studies, including the perry preschool project, an intensive program for 3-to-4-year-old low-income children ""that had long-term impacts on test scores, adult crime and male income",low-income,JJ,,,
18568,te,"shapiro, a professor of political economy at brown, wrote: their conclusion is that over the past four decades, ""the united states experienced the most rapid growth in affective polarization among the 12 o",experienced,VBD,,,
18708,te,"entities are becoming more and more efficient in the production of output compared to humans,"" the authors write, because ""human technology to convert consumption goods such as food and housing into future humans has experienced relatively little technological change",experienced,VBN,,,
18779,te,"kloppenberg, a professor of american history at harvard, responded to my inquiry with a broad overview, worth quoting at length: it is just these underpinnings of democracy that trump threatens, especially now: trump's behavior, kloppenberg argues, is the culmination of long-term developments within republican ranks: sean wilentz, a professor of history at princeton, was outspoken: in fact, wilentz warned: wilentz envisaged wilentz and others argue that trump is gearing up to violate a principle of peaceful transition established shortly after the founding of the nation",outspoken,VBN,,,
18848,te,"politics & policy at queen mary university of london, wrote me in an email that the current situation in the united states has key parallels to the end of the reconstruction period in the late nineteenth century",late,JJ,,,
18859,te,"america is embedded in a world that is troubled by insidious parallel variants of the same structural problems -- anti-immigrant fervor, political tribalism, racism, ethnic tension, authoritarianism and inequality -- that led to a right-wing takeover of the federal government by donald trump",troubled,VBN,,,
18938,te,"according to the stanford sociologists michelle jackson and david grusky, there is a common thread to these seemingly disparate developments -- what they call ""the ubiquity of loss"" -- a condition the authors describe as a ""late industrial experience, in short, increasingly one of omnipresent loss and decline",late,JJ,,,
19020,te,""" loss like this, they write, can be the commonality of loss has fostered the emergence of politicians and political strategists whom jackson and grusky call ""norm entrepreneurs"" -- trump, steve bannon, jeremy corbyn, marine le pen, nigel farage -- who the politics of loss have, in turn, empowered the populist right by encouraging the view ""that disadvantaged groups have unfairly benefited from legal protections, egalitarian social movements and government and charitable assistance",disadvantaged,VBD,,,
19114,te,""" daniel esty, a professor of environmental law at yale, described in an email how tribalism, hostility toward outsiders, notably immigrants, and the emergence of what some call ""exclusionary nationalism"" all serve to undermine prospects for global cooperation: in other words, the world's democracies are ill equipped to take on the immediate dangers cited in the annual threat assessment: an additional global development is the simultaneous aging of the populations in developed nations while the share of young people in developing countries rapidly expands",aging,NN,,,
19145,te,"mark haas, a political scientist at duquesne university, argues that ""aging will create powerful forces for international peace on the one hand and increased domestic polarization on the other",aging,VBG,,,
19385,te,"""democratic erosion is subtle and slow, often nearly imperceptible until it's too late,"" robert blair, a political scientist at brown, wrote in an email: blair is decidedly pessimistic about the likelihood that american voters will succeed in opposing the degradation of the system: daniel hopkins, a political scientist at the university of pennsylvania, stressed this point in an email: the low visibility and lack of public understanding of arcane shifts in election law -- for example, the shift of responsibility for determining winners and losers from election officials to state legislatures -- greatly empowers partisan elites",late,JJ,,,
19485,te,that first became evident in the late 1980s-early 1990s,late,JJ,,,
19512,te,"the percentage of adults who disapprove of biden's handling of immigration grew from 39 percent when he took office to 59 percent in late september, according to yougov tracking surveys",late,JJ,,,
19615,te,"education week reported that after the federal courts in 1971 ordered busing to achieve integration: in that respect, charlotte-mecklenburg stood out in a nation where cities like boston and detroit experienced divisive and often violent protest",experienced,VBD,,,
19816,te,suburbs: are diverse suburbs disadvantaged,disadvantaged,VBD,,,
19862,te,","" ankit rastogi, a postdoctoral fellow at the university of pennsylvania's center for the study of ethnicity, race and immigration, challenges ""two assumptions: that people of color are concentrated largely in cities and that communities of color are disadvantaged",disadvantaged,VBN,,,
20007,tf,it is not too late for america to get back into the tpp and even strengthen it by insisting on stricter rules of origin (which trump added to the new nafta),late,JJ,,,
20047,tf,"ever since deng xiaoping opened china to the world in the late 1970s, many in the west wanted to see the country succeed, because we thought china -- despite its brutal authoritarian political structure -- was on a path to a more open economy and society",late,JJ,,,
20095,tf,"in short, the relative peace and prosperity that the world experienced in those 40 years cannot be explained without reference to the u",experienced,VBD,,,
20167,tf,"that's worrying as calmer weather has reduced output from wind turbines, while europe's aging nuclear plants are being phased out or are more prone to outages -- making gas even more necessary",aging,VBG,,,
20195,tf,"sadly, in an overreaction to the fukushima nuclear accident, germany decided in 2011 to phase out all of its nuclear power by 2022 -- nuclear power stations that in the year 2000 generated 29",accident,NN,,,
20335,tf,"kimberly wehle, a professor at the university of baltimore school of law and author of the book ""how to read the constitution -- and why,"" writing in the hill on monday, noted that ""as of late march, state legislators have introduced 361 bills in 47 states this year that contain limitations around voting, a 43 percent increase from just a month earlier",late,JJ,,,
20518,tf,""" after 42 years, some things are clear: iran's ruling clerics cultivate and celebrate conflict with america and israel as an essential tool for locking themselves in power and for keeping their revolutionary guards richly funded and their people under their iron fist, deprived of a real voice in their future or the ability to realize their full potential",deprived,VBN,,,
20592,tf,because without that horizon -- without any viable hope of separating israelis and palestinians into two states for two peoples -- the only outcome left will be one state in which the israeli majority dominates and palestinians in east jerusalem and the west bank will be systematically deprived of equal rights so that israel can preserve its jewish character,deprived,VBN,,,
20632,tf,"just like trump, netanyahu's main political strategy for winning elections has been to foster an intense personality cult and try to gain and hold power with slim majorities by dividing israel along as many lines as possible -- in his case, primarily jews versus arabs, left versus right, religious versus secular and patriots versus traitors",slim,JJ,,,
20668,tf,later will be too late for the country as we know it,late,JJ,,,
20703,tf,"-scale social reform package as ""reconciliation"" and only calling it by its actual substance: universal pre-k, home health care for the sick and elderly, lower prescription drug prices, strengthened obamacare, cleaner energy, green jobs and easier access to college education that begins a long-overdue leveling of the playing field between the wealthy and the working class",elderly,JJ,,,
20780,tf,"according to a new report by protect democracy, law forward and the states united democracy center, ""across the country, state legislators are proposing bills that would give partisan state legislators greater control over elections while hamstringing experienced state and local election administrators who have traditionally run our voting systems",experienced,JJ,,,
20817,tf,"we are all the product of our life experiences, and my first reporting experience was living inside the lebanese civil war in the late 1970s and early 1980s",late,JJ,,,
20832,tf,"on top of stresses from covid-19, iran last summer experienced deadly water riots in its parched southwest -- and its climate is predicted to get hotter and drier",experienced,VBD,,,
20859,tf,"sure, we tell ourselves, we've experienced steadily more extreme weather events in the last seven years (the hottest seven in recorded history)",experienced,VBN,,,
20882,tf,later will be too late,late,JJ,,,
20895,tf,"most americans paid scant attention to the expansion of nato in the late 1990s and early 2000s to countries in eastern and central europe like poland, hungary, the czech republic, latvia, lithuania and estonia, all of which had been part of the former soviet union or its sphere of influence",late,JJ,,,
20940,tf,"after china experienced what it called a ""century of humiliation"" from the west, it responded under deng xiaoping by essentially saying: ""we'll show you",experienced,VBD,,,
21078,zt,"when i first came to this country from turkey as a graduate student in the late 1990s, i was something of an anomaly: an adult foreigner with white skin who was fluent in english but not a native",late,JJ,,,
21124,zt,"there are those who are not yet vaccinated because they haven't managed to navigate the process, or have started late, or are concerned because of bad experiences with the medical establishment",late,RB,,,
21140,zt,"that would be late april or even may -- when there will be plenty of pfizer, moderna and johnson & johnson vaccines for american adults",late,JJ,,,
21183,zt,"vaccine supplies need to be diverted now to where the crisis is the worst, if necessary away from the wealthy countries that have purchased most of the supply",wealthy,JJ,,,
21193,zt,the elderly and health care workers could be prioritized wherever a crisis is worst,elderly,JJ,,,
21210,zt,"this pathogen has one fatality rate when oxygen is available as a therapy and one when it is not, and it would be an unspeakable tragedy to suffer the latter in the second year of the pandemic",fatality,NN,,,
21254,zt,"what's more, people who settled on a preference late were a bit more prone to vote for mr",late,RB,,,
21266,zt,"would the elderly, at great risk from the pandemic, avoid voting",elderly,JJ,,,
21303,zt,this approach is what allowed the airline captain chesley sullenberger to safely land a commercial airplane on the hudson river in 2009 after its engines were disabled,disabled,JJ,,,
21318,zt,"i've found that institutions serving less-advantaged students tend to have less-forgiving policies for late papers, missed exams, casual drug use and so forth, whereas more elite institutions tend to be more forgiving",late,JJ,,,
21399,zt,"turkey has experienced many crises recently, including deadly terrorist attacks, and they usually lead to a closing of information flows, not the government-aligned service provider's making it easier to transmit information",experienced,VBN,,,
21504,zt,"at worst, these fixes are too late",late,JJ,,,
21507,zt,are you troubled when agents of a foreign power pose online as american muslims and post incendiary content that right-wing commentators can cite as evidence that all american muslims are sympathizers of terrorist groups like the islamic state,troubled,JJ,,,
21603,zt,"in addition to doing more to weed out lies and false propaganda, facebook could tweak its algorithm so that it does less to reinforce users' existing beliefs, and more to present factual information",weed,VB,,,
21679,zt,"even if it is too early for conclusive answers, there are already many reasons to think omicron could be a major threat to the elderly",elderly,JJ,,,
21694,zt,"all this means we have to act immediately to ramp up protections for the elderly in nursing homes, assisted living facilities and retirement communities",elderly,JJ,,,
21706,zt,"""elderly people can struggle to mount and maintain effective memory responses, making the presence of neutralizing antibodies, which function to block the virus from efficiently infecting our cells, all the more critical at the moment of exposure,"" andrew croxford, an immunologist based in zurich, explained to me",elderly,JJ,,,
21776,zt,"social support is crucial at every stage of life, and too often we are both late to react to threats, and slow to relax restrictions",late,JJ,,,
21791,zt,"protocols should allow the elderly to interact with one another and with their loved ones, not preemptively cut them off without paying attention to the measures that could keep them safe",elderly,JJ,,,
21822,zt,it is too late to fix everything for this election,late,JJ,,,
21839,zt,"i never do, maybe because i discovered it so late",late,RB,,,
21860,zt,"i had expected some of what i encountered -- i had seen enough movies, and came to this country expecting big cars and big houses and wide open spaces",expecting,VBG,,,
21885,zt,"youtube has recently come under fire for recommending videos promoting the conspiracy theory that the outspoken survivors of the school shooting in parkland, fla",outspoken,JJ,,,
